iter	Passed	Remaining
0	1	159
1	2	142
2	4	134
3	5	123
4	6	128
5	8	127
6	9	126
7	10	123
8	12	121
9	13	119
10	14	118
11	15	116
12	17	114
13	18	112
14	19	111
15	20	110
16	22	109
17	23	108
18	25	107
19	26	106
20	28	105
21	29	104
22	30	103
23	32	102
24	33	101
25	35	100
26	36	99
27	38	98
28	39	97
29	41	96
30	42	95
31	44	94
32	45	92
33	47	91
34	48	90
35	49	88
36	52	88
37	53	87
38	55	86
39	56	84
40	57	82
41	58	80
42	59	78
43	60	77
44	61	75
45	63	74
46	64	73
47	66	71
48	67	70
49	69	69
50	70	67
51	71	66
52	73	64
53	74	63
54	75	61
55	76	60
56	78	58
57	79	57
58	80	56
59	82	54
60	83	53
61	85	52
62	86	50
63	87	49
64	89	47
65	90	46
66	92	45
67	93	43
68	94	42
69	96	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	106	31
77	107	30
78	109	29
79	111	27
80	112	26
81	114	25
82	116	23
83	118	22
84	120	21
85	122	19
86	123	18
87	124	17
88	125	15
89	127	14
90	128	12
91	129	11
92	130	9
93	131	8
94	133	7
95	134	5
96	135	4
97	136	2
98	137	1
99	139	0
