iter	Passed	Remaining
0	151	150895
1	152	76183
2	153	51131
3	156	38844
4	157	31417
5	159	26399
6	161	22877
7	164	20455
8	166	18316
9	167	16601
10	169	15216
11	171	14124
12	173	13138
13	174	12277
14	175	11544
15	177	10914
16	178	10345
17	180	9850
18	182	9397
19	183	8987
20	184	8622
21	186	8282
22	187	7983
23	190	7738
24	191	7476
25	192	7228
26	194	7024
27	196	6821
28	197	6627
29	199	6443
30	200	6269
31	204	6178
32	205	6032
33	207	5900
34	209	5774
35	211	5650
36	212	5529
37	213	5414
38	215	5321
39	218	5233
40	219	5141
41	221	5051
42	223	4966
43	224	4880
44	225	4794
45	227	4722
46	229	4646
47	231	4585
48	232	4516
49	234	4452
50	236	4391
51	237	4333
52	239	4280
53	241	4230
54	243	4184
55	245	4132
56	246	4081
57	248	4029
58	249	3981
59	250	3931
60	252	3885
61	253	3838
62	255	3793
63	256	3752
64	258	3718
65	260	3680
66	261	3640
67	262	3600
68	264	3562
69	265	3524
70	266	3488
71	267	3452
72	269	3418
73	270	3384
74	272	3357
75	273	3327
76	275	3297
77	276	3266
78	277	3236
79	278	3206
80	280	3177
81	281	3149
82	281	3115
83	283	3088
84	284	3063
85	285	3037
86	288	3024
87	290	3006
88	291	2986
89	293	2972
90	295	2953
91	296	2931
92	298	2909
93	299	2889
94	303	2892
95	305	2879
96	307	2866
97	309	2846
98	310	2825
99	311	2805
100	313	2786
101	314	2766
102	316	2757
103	318	2744
104	320	2727
105	321	2710
106	322	2694
107	324	2679
108	325	2663
109	327	2647
110	328	2631
111	330	2622
112	332	2612
113	334	2598
114	335	2585
115	337	2570
116	338	2556
117	340	2542
118	341	2529
119	343	2516
120	345	2507
121	346	2492
122	348	2481
123	349	2469
124	351	2457
125	352	2445
126	353	2431
127	355	2419
128	356	2409
129	359	2403
130	360	2394
131	362	2385
132	364	2374
133	365	2362
134	366	2350
135	368	2338
136	369	2330
137	371	2322
138	374	2319
139	375	2309
140	377	2300
141	378	2287
142	380	2278
143	381	2268
144	383	2258
145	384	2249
146	386	2240
147	390	2245
148	392	2244
149	394	2237
150	396	2230
151	398	2224
152	400	2215
153	401	2206
154	403	2198
155	405	2192
156	406	2184
157	408	2178
158	410	2170
159	412	2163
160	413	2152
161	414	2145
162	416	2137
163	418	2132
164	420	2127
165	422	2121
166	423	2112
167	424	2104
168	426	2097
169	428	2093
170	430	2086
171	433	2088
172	436	2085
173	438	2082
174	440	2074
175	441	2067
176	443	2060
177	444	2053
178	448	2054
179	449	2048
180	451	2043
181	453	2038
182	455	2033
183	457	2028
184	459	2023
185	461	2020
186	467	2034
187	470	2030
188	472	2026
189	474	2020
190	476	2016
191	478	2011
192	480	2007
193	482	2002
194	484	2001
195	487	1998
196	488	1991
197	490	1985
198	492	1981
199	493	1974
200	495	1969
201	496	1962
202	497	1954
203	498	1946
204	500	1939
205	501	1932
206	502	1925
207	503	1918
208	505	1914
209	507	1908
210	509	1905
211	511	1900
212	512	1895
213	514	1889
214	515	1882
215	516	1876
216	518	1870
217	521	1869
218	523	1865
219	524	1860
220	526	1855
221	527	1850
222	529	1844
223	530	1838
224	531	1832
225	533	1827
226	535	1824
227	537	1818
228	538	1814
229	540	1809
230	541	1804
231	543	1799
232	544	1793
233	546	1788
234	549	1789
235	551	1784
236	552	1779
237	554	1773
238	555	1768
239	556	1763
240	558	1758
241	560	1754
242	561	1748
243	563	1747
244	565	1742
245	566	1737
246	568	1731
247	569	1726
248	570	1721
249	572	1717
250	573	1712
251	575	1708
252	577	1706
253	580	1704
254	582	1701
255	584	1698
256	586	1696
257	588	1692
258	590	1688
259	593	1687
260	594	1684
261	596	1680
262	597	1675
263	599	1670
264	600	1666
265	601	1661
266	603	1657
267	605	1652
268	607	1649
269	608	1645
270	610	1641
271	611	1635
272	612	1631
273	613	1626
274	615	1622
275	616	1617
276	618	1613
277	619	1608
278	621	1606
279	622	1601
280	624	1597
281	625	1592
282	626	1587
283	627	1582
